soc_code,title,cluster,job_zone,is_target
11-9111.00,Medical and Health Services Managers,2,4,1
11-9121.01,Clinical Research Coordinators,3,4,0
15-1211.01,Health Informatics Specialists,2,5,1
15-2051.02,Clinical Data Managers,3,4,0
19-1041.00,Epidemiologists,2,5,0
19-1042.00,"Medical Scientists, Except Epidemiologists",2,5,0
19-3033.00,Clinical and Counseling Psychologists,3,5,0
19-3039.03,Clinical Neuropsychologists,3,5,0
19-5011.00,Occupational Health and Safety Specialists,2,4,0
19-5012.00,Occupational Health and Safety Technicians,2,3,0
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,3,5,0
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",3,5,0
21-1013.00,Marriage and Family Therapists,3,5,0
21-1014.00,Mental Health Counselors,3,5,0
21-1015.00,Rehabilitation Counselors,3,4,0
21-1021.00,"Child, Family, and School Social Workers",3,4,0
21-1022.00,Healthcare Social Workers,3,5,0
21-1023.00,Mental Health and Substance Abuse Social Workers,3,5,0
21-1091.00,Health Education Specialists,3,4,0
21-1092.00,Probation Officers and Correctional Treatment Specialists,3,4,0
21-1093.00,Social and Human Service Assistants,3,4,0
21-1094.00,Community Health Workers,3,4,0
25-1071.00,"Health Specialties Teachers, Postsecondary",3,5,0
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",2,5,1
29-1011.00,Chiropractors,2,5,0
29-1021.00,"Dentists, General",2,5,0
29-1022.00,Oral and Maxillofacial Surgeons,2,5,0
29-1023.00,Orthodontists,2,5,0
29-1024.00,Prosthodontists,2,5,0
29-1031.00,Dietitians and Nutritionists,3,5,0
29-1041.00,Optometrists,2,5,0
29-1051.00,Pharmacists,2,5,0
29-1071.00,Physician Assistants,2,5,0
29-1071.01,Anesthesiologist Assistants,1,5,0
29-1081.00,Podiatrists,2,5,0
29-1122.00,Occupational Therapists,3,5,0
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",3,5,0
29-1123.00,Physical Therapists,2,5,0
29-1124.00,Radiation Therapists,1,3,0
29-1125.00,Recreational Therapists,3,4,0
29-1126.00,Respiratory Therapists,1,3,0
29-1127.00,Speech-Language Pathologists,3,5,0
29-1128.00,Exercise Physiologists,3,4,0
29-1129.01,Art Therapists,3,5,0
29-1129.02,Music Therapists,3,4,0
29-1131.00,Veterinarians,2,5,0
29-1141.00,Registered Nurses,2,4,1
29-1141.01,Acute Care Nurses,2,4,0
29-1141.02,Advanced Practice Psychiatric Nurses,3,5,0
29-1141.03,Critical Care Nurses,2,4,0
29-1141.04,Clinical Nurse Specialists,2,5,1
29-1151.00,Nurse Anesthetists,2,5,1
29-1161.00,Nurse Midwives,2,5,1
29-1171.00,Nurse Practitioners,2,5,1
29-1181.00,Audiologists,2,5,0
29-1211.00,Anesthesiologists,2,5,0
29-1213.00,Dermatologists,2,5,0
29-1214.00,Emergency Medicine Physicians,2,5,0
29-1215.00,Family Medicine Physicians,2,5,0
