feature,importance,domain,dimension
skills:Complex Problem Solving,0.03728239528475708,skills,Complex Problem Solving
skills:Reading Comprehension,0.028682425105546517,skills,Reading Comprehension
abilities:Deductive Reasoning,0.027075091208544677,abilities,Deductive Reasoning
skills:Writing,0.026134968843151994,skills,Writing
abilities:Written Expression,0.02591475006063098,abilities,Written Expression
abilities:Inductive Reasoning,0.024172027369301484,abilities,Inductive Reasoning
work_context:Freedom to Make Decisions,0.023871642273472788,work_context,Freedom to Make Decisions
abilities:Written Comprehension,0.023730945182671454,abilities,Written Comprehension
skills:Judgment and Decision Making,0.021460337960374224,skills,Judgment and Decision Making
skills:Active Listening,0.021438782889504102,skills,Active Listening
skills:Critical Thinking,0.019820997906994632,skills,Critical Thinking
work_styles:Intellectual Curiosity,0.019154183130196494,work_styles,Intellectual Curiosity
skills:Active Learning,0.017528029782364368,skills,Active Learning
abilities:Oral Expression,0.016965854006681238,abilities,Oral Expression
skills:Systems Evaluation,0.015147309935263633,skills,Systems Evaluation
abilities:Oral Comprehension,0.014996467809815575,abilities,Oral Comprehension
skills:Speaking,0.014265358897646081,skills,Speaking
work_styles:Leadership Orientation,0.013923305662427944,work_styles,Leadership Orientation
work_styles:Achievement Orientation,0.01328650148090135,work_styles,Achievement Orientation
skills:Systems Analysis,0.013032706578104956,skills,Systems Analysis
work_styles:Innovation,0.012607814773152199,work_styles,Innovation
skills:Management of Personnel Resources,0.012272190538659196,skills,Management of Personnel Resources
abilities:Fluency of Ideas,0.012075090176819727,abilities,Fluency of Ideas
"work_context:Determine Tasks, Priorities and Goals",0.009834037728729218,work_context,"Determine Tasks, Priorities and Goals"
knowledge:Biology,0.009089729699897242,knowledge,Biology
abilities:Originality,0.008736847130512253,abilities,Originality
knowledge:Medicine and Dentistry,0.008626172006759237,knowledge,Medicine and Dentistry
skills:Science,0.008382825706114884,skills,Science
work_activities:Providing Consultation and Advice to Others,0.008181878542193518,work_activities,Providing Consultation and Advice to Others
work_activities:Making Decisions and Solving Problems,0.008031550588929548,work_activities,Making Decisions and Solving Problems
work_styles:Self-Confidence,0.007756859854747447,work_styles,Self-Confidence
skills:Learning Strategies,0.00743674470798513,skills,Learning Strategies
work_activities:Getting Information,0.007292347935403595,work_activities,Getting Information
abilities:Memorization,0.006810066387210957,abilities,Memorization
skills:Programming,0.00634688505568922,skills,Programming
abilities:Problem Sensitivity,0.006272433190224793,abilities,Problem Sensitivity
skills:Time Management,0.006052548796897738,skills,Time Management
skills:Monitoring,0.005766333285698598,skills,Monitoring
skills:Social Perceptiveness,0.0056427650712127025,skills,Social Perceptiveness
work_context:Frequency of Decision Making,0.0056356749399767096,work_context,Frequency of Decision Making
knowledge:Education and Training,0.005522173298247682,knowledge,Education and Training
work_context:Level of Competition,0.0049573117512945195,work_context,Level of Competition
knowledge:English Language,0.0049405849238015435,knowledge,English Language
work_context:Written Letters and Memos,0.004849231427122046,work_context,Written Letters and Memos
work_context:Physical Proximity,0.0048215993210447335,work_context,Physical Proximity
abilities:Spatial Orientation,0.0047520652142657325,abilities,Spatial Orientation
work_activities:Assisting and Caring for Others,0.004467774022647648,work_activities,Assisting and Caring for Others
work_styles:Initiative,0.004425321039570686,work_styles,Initiative
abilities:Speech Clarity,0.004291437880002659,abilities,Speech Clarity
knowledge:Law and Government,0.004223021651060318,knowledge,Law and Government
abilities:Information Ordering,0.0042199988419902934,abilities,Information Ordering
knowledge:Therapy and Counseling,0.004184216934314308,knowledge,Therapy and Counseling
work_context:Pace Determined by Speed of Equipment,0.004150102816961187,work_context,Pace Determined by Speed of Equipment
work_context:Exposed to Very Hot or Cold Temperatures,0.0041303608403475515,work_context,Exposed to Very Hot or Cold Temperatures
knowledge:Administrative,0.0040011350297759945,knowledge,Administrative
knowledge:Sociology and Anthropology,0.0039395059413799,knowledge,Sociology and Anthropology
